"","sector_wo","poll","grid","value","value_all_sector","value_om_sector","diff","status"
"170","landfill","BC","d03",38468.7461506957,38468.7460773311,0,7.33646156731993e-05,"PASS"
"171","landfill","OC","d03",95081.2423373569,95081.2424909143,0,0.000153557470184751,"PASS"
"172","livestock","SO2","d03",315165.946310867,315165.944401014,0,0.00190985295921564,"PASS"
"173","livestock","NOx","d03",1508432.06269854,1508432.06824123,0,0.00554269272834063,"PASS"
"174","livestock","CO","d03",8850485.34681768,8850485.32926486,0,0.0175528209656477,"PASS"
"175","livestock","NMVOC","d03",580681.244385708,580681.242058628,0,0.00232707930263132,"PASS"
"176","livestock","NH3","d03",58885.767596232,332266.668753512,273380.901089648,6.76325871609151e-05,"PASS"
"177","livestock","PM","d03",368688.057512558,368688.05759056,0,7.8001874499023e-05,"PASS"
"178","livestock","CH4","d03",67880.3657357774,67880.365769069,0,3.32916533807293e-05,"PASS"
"179","livestock","BC","d03",38468.7461506957,38468.7460773311,0,7.33646156731993e-05,"PASS"
"180","livestock","OC","d03",95081.2423373569,95081.2424909143,0,0.000153557470184751,"PASS"
"181","power","SO2","d03",64668.9801353759,315165.944401014,250496.964358343,9.27047512959689e-05,"PASS"
"182","power","NOx","d03",1387546.27685432,1508432.06824123,120885.788333416,0.00305349845439196,"PASS"
"183","power","CO","d03",8827074.96947733,8850485.32926486,23410.3773820773,0.0175945442169905,"PASS"
"184","power","NMVOC","d03",574827.559999195,580681.242058628,5853.68412433192,0.00206489826086909,"PASS"
"185","power","NH3","d03",331362.091533615,332266.668753512,904.576344941743,0.000874955847393721,"PASS"
"186","power","PM","d03",350280.811704129,368688.05759056,18407.2456033621,0.000283069093711674,"PASS"
"187","power","CH4","d03",62345.4720907442,67880.365769069,5534.89365499467,2.33301107073203e-05,"PASS"
"188","power","BC","d03",38459.8405828308,38468.7460773311,8.90556323498458,6.87346691847779e-05,"PASS"
"189","power","OC","d03",95000.2515287809,95081.2424909143,80.9907946467865,0.000167486621649005,"PASS"
"190","shipping","SO2","d03",312453.063654092,315165.944401014,2712.88256049156,0.00181356945540756,"PASS"
"191","shipping","NOx","d03",1504436.43820524,1508432.06824123,3995.62424719334,0.00578879471868277,"PASS"
"192","shipping","CO","d03",8850180.80229045,8850485.32926486,304.544528648257,0.0175542365759611,"PASS"
"193","shipping","NMVOC","d03",580681.244385708,580681.242058628,0,0.00232707930263132,"PASS"
"194","shipping","NH3","d03",332266.667920699,332266.668753512,0,0.000832813268061727,"PASS"
"195","shipping","PM","d03",368019.27769398,368688.05759056,668.779788762331,0.000107817235402763,"PASS"
"196","shipping","CH4","d03",67880.3657357774,67880.365769069,0,3.32916533807293e-05,"PASS"
"197","shipping","BC","d03",38378.6009752049,38468.7460773311,90.1451818831265,7.97569227870554e-05,"PASS"
"198","shipping","OC","d03",94953.3336321261,95081.2424909143,127.908701542765,0.000157245507580228,"PASS"
"199","solidwaste","SO2","d03",314654.242663323,315165.944401014,511.708187310903,0.00644961966219171,"PASS"
"200","solidwaste","NOx","d03",1505361.81604163,1508432.06824123,3070.2491480922,0.00305151197244413,"PASS"
"201","solidwaste","CO","d03",8807501.85705107,8850485.32926486,42983.4877921939,0.0155784041126026,"PASS"
"202","solidwaste","NMVOC","d03",565329.996694013,580681.242058628,15351.2455894681,0.000224852403334808,"PASS"
"203","solidwaste","NH3","d03",331304.657231724,332266.668753512,962.011391081102,0.000130706804270631,"PASS"
"204","solidwaste","PM","d03",350471.245906402,368688.05759056,18216.811556591,0.00012756688738591,"PASS"
"205","solidwaste","CH4","d03",61228.1592516309,67880.365769069,6652.20644641176,7.10263575456338e-05,"PASS"
"206","solidwaste","BC","d03",32839.9560291969,38468.7460773311,5628.79004598558,2.1486612240551e-06,"PASS"
"207","solidwaste","OC","d03",89452.4522799578,95081.2424909143,5628.79004598558,0.000164970964760869,"PASS"
"208","transport","SO2","d03",269310.198742426,315165.944401014,45855.7434304265,0.00222816184395924,"PASS"
"209","transport","NOx","d03",348849.258668929,1508432.06824123,1159582.80789223,0.00168007612228394,"PASS"
"210","transport","CO","d03",7298879.32049487,8850485.32926486,1551606.01040148,0.00163148553110659,"PASS"
"211","transport","NMVOC","d03",128430.028123675,580681.242058628,452251.214696659,0.000761705683544278,"PASS"
"212","transport","NH3","d03",296801.366431263,332266.668753512,35465.3015111875,0.000811061647254974,"PASS"
"213","transport","PM","d03",132087.929097242,368688.05759056,236600.128632891,0.000139572541229427,"PASS"
"214","transport","CH4","d03",46114.5975347146,67880.365769069,21765.768207146,2.72084544121753e-05,"PASS"
"215","transport","BC","d03",10781.619089747,38468.7460773311,27687.1269692345,1.83495976671111e-05,"PASS"
"216","transport","OC","d03",22607.5600984648,95081.2424909143,72473.6823565622,3.58873803634197e-05,"PASS"
"217","agroob","SO2","d04",44689.3052279999,44757.2985669742,67.9930508529856,0.000288121389075968,"PASS"
