country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,PLTU Tambak Lorok,WRI1000984,300,-6.9507,110.4304,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026156,,,,,,,1230.682167
IDN,Indonesia,PLTU Tanjung Alam Perkasa,WRI1000985,7.5,-2.5213,121.357,Coal,,,,,PT. Tanjung Alam Perkasa,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,30.76705417
IDN,Indonesia,PLTU Tanjung Enim -Bukit Asam,WRI1000988,260,-3.7316,103.7975,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1076783,,,,,,,1066.591211
IDN,Indonesia,PLTU Tanjung Jati B,WRI1000990,1320,-6.446,110.7423,Coal,,,,,PT. Central Java Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,5415.001534
IDN,Indonesia,PLTU Tanjung Jati B - expansion,WRI1000991,1324,-6.446,110.7423,Coal,,,,,PT. Central Java Power (EPC : Korea Midland Power Co),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,5431.41063
IDN,Indonesia,PLTU Tanjung Kasam,WRI1000992,110,1.0455,104.133,Coal,,,,,PT. Tanjung Kasam Power Batam (PT. TJK Power),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1060288,,,,,,,451.2501278
IDN,Indonesia,PLTU Tarahan # 1  2,WRI1000994,200,-5.518,105.35,Coal,,,,,Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026163,,,,,,,820.4547779
IDN,Indonesia,PLTU Tarahan 3 & 4 - Sebalang,WRI1000995,200,-5.518,105.35,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,820.4547779
IDN,Indonesia,PLTU Tello,WRI1000997,25,-5.14,119.4221,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,102.5568472
IDN,Indonesia,PLTU Tonasa II (Boiler Turbine Generator),WRI1000999,70,-4.7846,119.6163,Coal,,,,,PT. Semen Gresik Tbk/PT. Semen Indonesia,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,287.1591723
