longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
106.7052427,-6.1626026,"PT. Mulia Knitting Factory, Ltd.",256,Tekstil,Textile & Clothing,Kota Jakarta Barat,DKI Jakarta,"Kota Jakarta Barat, DKI Jakarta, Indonesia",16.36131002
106.7297933,-6.1189894,PT. Garuda Metalindo,302,Komponen Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",16.2525371
106.861828,-6.3525346,PT. Panasonic Manufacturing Indonesia,261,Elektronik,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",16.10496669
106.8654098,-6.3508322,PT. Actavis Indonesia,266,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",15.96622502
106.8633898,-6.3510696,PT. PFIZER Indonesia,265,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",15.96330029
106.9886717,-6.1986426,PT. Bakrie Metal Industries,656,Pelapisan Logam,Metal & non-metallic minerals,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",15.87354535
106.8666791,-6.3482241,PT. LF Beauty Manufacturing Indonesia,296,Kosmetik,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",15.69894643
106.8676142,-6.3469878,PT. Integrated Healthcare Indonesia,267,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",15.57870759
106.9801989,-6.2476428,PT. KAO Indonesia Chemicals,462,Kimia,"Petroleum, Chemicals & Plastics",Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",15.51120569
106.9829289,-6.1988979,PT. Bridgestone Tire Indonesia - Bekasi Plant,650,Ban,Capital goods & automobile components,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",15.23759469
106.8683927,-6.3428965,PT. Huntsman Indonesia,276,Kimia,"Petroleum, Chemicals & Plastics",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",15.14314696
