Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
PROPER 2019,110.4105179,-7.0670055,PT. Raja Besi Semarang,Kota Semarang,Central Java,Central Java,Metal Plating,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,110.3889565,-7.0053739,PT. Indonesia Steel Tube Works,Kota Semarang,Central Java,Central Java,Metal Plating,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,110.3376377,-6.9772745,PT. Kawasan Industri Wijayakusuma (Persero),Kota Semarang,Central Java,Central Java,Kawasan Industri,Heavy industry,,,,,,,,,,
PROPER 2019,104.5655273,-4.4963689,PT. Perkebunan Nusantara VII Unit Tulung Buyut,Kab. Way Kanan,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,105.2731935,-4.015974,PT. Silva Inhutani Lampung - Divisi Crumb Rubber,Kab. Mesuji,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,104.8103948,-4.4743231,PT. Budi Lampung Sejahtera,Kab. Way Kanan,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,109.0052228,-7.7041659,PT. Pertamina (Persero) RU IV - Kilang Cilacap,Kab. Cilacap,Central Java,Central Java,Oil and Gas Processing,Oil & Gas,,,,,,,,,,
PROPER 2019,105.2506958,-4.1607524,PT. Silva Inhutani Lampung - unit Reg.45 Sungai Buaya,Kab. Mesuji,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,115.9300927,-6.9587551,"Kangean Energy Indonesia, Ltd.",Kab. Sumenep,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,105.1414039,-4.4827222,PT. Huma Indah Mekar,Kab. Tulang Bawang Barat,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,108.796177,-7.465624,PT. Indo Java Ruber Planting Company,Kab. Cilacap,Central Java,Central Java,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,105.1210088,-5.3668096,PT. Perkebunan Nusantara VII Unit Way Berulu,Kab. Pesawaran,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,105.2008945,-5.3188164,PT. Perkebunan Nusantara VII Unit Pematang Kiwah,Kab. Lampung Selatan,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,105.260598,-5.385185,PT. Perkebunan Nusantara VII Unit Kedaton,Kab. Lampung Selatan,Lampung,Lampung,Rubber,Petrochemicals & Plastics,,,,,,,,,,
